---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  core-label                                                                |  device_id  |  aiclk  |  first-and-last-inputs  |  total-runtime  |  active-math-cycles-single-input  |  math-utilization-over-all-inputs  |  math-utilization-last-input-recorded  |  runtime-last-input-recorded  |  num-cycles-per-tensor  |  num-tensors-per-second  |  input0-bw  |  input1-bw  |  output-bw  |  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  1-1-norm_ff_0_sub                                                         |  0          |  1000   |  0 -> 0                 |  2043           |  128                              |  6.27                              |  6.27                                  |  2043                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-2-norm_ff_0_weights                                                     |  0          |  1000   |  0 -> 0                 |  1609           |  384                              |  23.87                             |  23.87                                 |  1609                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-3-ff.reciprocal_of_sqrt_of_head_size_1_s_brcst_m1_0_2.lc1_splt_brcst_2  |  0          |  1000   |  0 -> 0                 |  1311           |  128                              |  9.76                              |  9.76                                  |  1311                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-4-ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.lc1  |  0          |  1000   |  0 -> 0                 |  579            |  192                              |  33.16                             |  33.16                                 |  579                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-5-norm_mha_1_sub                                                        |  0          |  1000   |  0 -> 0                 |  2000           |  128                              |  6.40                              |  6.40                                  |  2000                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-7-norm_mha_1_weights                                                    |  0          |  1000   |  0 -> 0                 |  1650           |  384                              |  23.27                             |  23.27                                 |  1650                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-8-norm_ff_1_mean.lc1                                                    |  0          |  1000   |  0 -> 0                 |  1231           |  768                              |  62.39                             |  62.39                                 |  1231                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  1-9-norm_ff_1_output                                                      |  0          |  1000   |  0 -> 0                 |  2021           |  384                              |  19.00                             |  19.00                                 |  2021                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-1-norm_ff_0_sq                                                          |  0          |  1000   |  0 -> 0                 |  1707           |  384                              |  22.50                             |  22.50                                 |  1707                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-2-norm_ff_0_bias                                                        |  0          |  1000   |  0 -> 0                 |  1683           |  128                              |  7.61                              |  7.61                                  |  1683                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-3-mha_1_as_div                                                          |  0          |  1000   |  0 -> 0                 |  5631           |  1536                             |  27.28                             |  27.28                                 |  5631                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-4-mha_1_value                                                           |  0          |  1000   |  0 -> 0                 |  3934           |  3072                             |  78.09                             |  78.09                                 |  3934                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-5-norm_mha_1_sq                                                         |  0          |  1000   |  0 -> 0                 |  1685           |  384                              |  22.79                             |  22.79                                 |  1685                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-7-norm_mha_1_bias                                                       |  0          |  1000   |  0 -> 0                 |  1710           |  128                              |  7.49                              |  7.49                                  |  1710                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-8-norm_ff_1_sub                                                         |  0          |  1000   |  0 -> 0                 |  2040           |  128                              |  6.27                              |  6.27                                  |  2040                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  2-9-norm_ff_1_weights                                                     |  0          |  1000   |  0 -> 0                 |  2025           |  384                              |  18.96                             |  18.96                                 |  2025                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-1-norm_ff_0_var.lc1                                                     |  0          |  1000   |  0 -> 0                 |  1252           |  768                              |  61.34                             |  61.34                                 |  1252                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-2-mha_1_key                                                             |  0          |  1000   |  0 -> 0                 |  3837           |  3072                             |  80.06                             |  80.06                                 |  3837                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-3-mha_1_as_mask                                                         |  0          |  1000   |  0 -> 0                 |  6040           |  512                              |  8.48                              |  8.48                                  |  6040                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-4-mha_1_value.bias                                                      |  0          |  1000   |  0 -> 0                 |  2033           |  128                              |  6.30                              |  6.30                                  |  2033                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-5-norm_mha_1_var.lc1                                                    |  0          |  1000   |  0 -> 0                 |  1262           |  768                              |  60.86                             |  60.86                                 |  1262                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-7-ff_1_ff1                                                              |  0          |  1000   |  0 -> 0                 |  17417          |  12800                            |  73.49                             |  73.49                                 |  17417                        |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-8-norm_ff_1_sq                                                          |  0          |  1000   |  0 -> 0                 |  1735           |  384                              |  22.13                             |  22.13                                 |  1735                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  3-9-norm_ff_1_bias                                                        |  0          |  1000   |  0 -> 0                 |  1746           |  128                              |  7.33                              |  7.33                                  |  1746                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-1-norm_ff_0_var_plus_eps                                                |  0          |  1000   |  0 -> 0                 |  634            |  32                               |  5.05                              |  5.05                                  |  634                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-2-mha_1_key.bias                                                        |  0          |  1000   |  0 -> 0                 |  3010           |  128                              |  4.25                              |  4.25                                  |  3010                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-3-mha_1_as_softmax.dc.exp.0                                             |  0          |  1000   |  0 -> 0                 |  114171         |  94720                            |  82.96                             |  82.96                                 |  114171                       |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-4-mha_1_ac                                                              |  0          |  1000   |  0 -> 0                 |  3958           |  3072                             |  77.61                             |  77.61                                 |  3958                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-5-norm_mha_1_var_plus_eps                                               |  0          |  1000   |  0 -> 0                 |  624            |  32                               |  5.13                              |  5.13                                  |  624                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
